Left Pose	Combined Text	Left Text	Right Pose	Backgrounds	1039
composing		Music brings joy to many people.			
holding flower		This person is holding a flower.			
holding flower		The flower is beautiful and colorful.			
holding flower		They are arriving with flowers.			
holding flower		The bouquet has many different flowers.			
holding flower		The person looks happy with the flowers.			
holding flower		They are giving flowers to someone special.			
holding flower		Flowers can express love and friendship.			
holding flower		This flower is a symbol of spring.			
holding flower		The person smiles while holding the bouquet.			
holding flower		Flowers make people feel joyful.			
spitting		He is spitting on the ground.			
spitting		She shows her disgust by spitting.			
spitting		That food looks unpalatable to him.			
spitting		He reacts with disdain after tasting it.			
spitting		She is expressing her dislike by spitting.			
spitting		His face shows how boorish he feels.			
spitting		She dismisses the food with a spit.			
spitting		He spits out something he finds gross.			
spitting		She can't believe how bad it tastes.			
spitting		His spitting shows his strong disapproval.			
examining document		The person is examining a document.			
examining document		They use a magnifying glass.			
examining document		The magnifying glass makes things bigger.			
examining document		The document has small text.			
examining document		The person looks very focused.			
examining document		They are sitting at a table.			
examining document		There are papers scattered around.			
examining document		The light is bright in the room.			
examining document		The person is wearing glasses.			
examining document		They want to find important information.			
apprehensive		The person looks worried.			
apprehensive		Their eyes are wide open.			
apprehensive		They seem to be looking around.			
apprehensive		The expression on their face is tense.			
apprehensive		They might be feeling anxious.			
apprehensive		Their body language is closed off.			
apprehensive		The person is not smiling.			
apprehensive		They could be feeling threatened.			
apprehensive		Their hands are clenched.			
apprehensive		The atmosphere feels uneasy.			
lecturing		The person is giving a lecture.			
lecturing		They are wagging their finger.			
lecturing		The audience is listening carefully.			
lecturing		The speaker looks confident.			
lecturing		This is a serious discussion.			
lecturing		The lecture is about an important topic.			
lecturing		The person is passionate about their message.			
lecturing		People are taking notes.			
lecturing		The atmosphere is focused.			
lecturing		The speaker is engaging with the audience.			
pointing at		The person is pointing.			
pointing at		They are using their finger.			
pointing at		Look at the direction they are pointing.			
pointing at		The gesture shows emphasis.			
pointing at		Pointing can indicate a location.			
pointing at		The person looks confident.			
pointing at		They might be giving directions.			
pointing at		Pointing can express excitement.			
pointing at		The finger is extended outward.			
pointing at		This action is common in conversations.			
knitting		The person is knitting.			
knitting		They are using yarn.			
knitting		The yarn is colorful.			
knitting		They are making a sweater.			
knitting		The needles are in their hands.			
knitting		The sweater is warm.			
knitting		Knitting takes patience.			
knitting		The person looks focused.			
knitting		They enjoy their hobby.			
knitting		The finished sweater will be beautiful.			
luring		The person looks suspicious.			
luring		They are hiding something.			
luring		Innocent people are nearby.			
luring		The trap is cleverly disguised.			
luring		The expression on their face is deceitful.			
luring		They are trying to lure someone in.			
luring		The surroundings seem dangerous.			
luring		The bait is tempting and shiny.			
luring		Trust your instincts in this situation.			
luring		Be careful and stay alert!			
sighing		The person is sighing.			
sighing		He is in an unbelievable situation.			
sighing		A sigh is an expression of disappointment.			
sighing		People sometimes let out a sigh.			
sighing		That person's expression looks sad.			
sighing		Sighing can reduce stress.			
sighing		He seems to be worrying about something.			
sighing		A sigh is a way to express emotions.			
sighing		That person seems to feel that the situation is difficult.			
sighing		A sigh can sometimes be comforting.			
playing guitar		He is playing the guitar.			
playing guitar		She strums the strings.			
playing guitar		The guitar is brown.			
playing guitar		He is sitting on a chair.			
playing guitar		She has long hair.			
playing guitar		The music sounds beautiful.			
playing guitar		He is focused on the guitar.			
playing guitar		She plays a happy song.			
playing guitar		The audience is listening.			
playing guitar		He enjoys making music.			
negotiating		They are discussing the terms of the deal.			
negotiating		The person is making an offer.			
negotiating		They are shaking hands to agree.			
negotiating		There is a contract on the table.			
negotiating		The negotiator is listening carefully.			
negotiating		They are both smiling and nodding.			
